功能名称,命令名,描述
视频动作迁移,video-motion-transfer,将参考视频中的人物动作迁移到目标人物/角色上，驱动目标执行相同动作。。输入：video 1(动作参考视频) + image|video 1(目标人物/角色)。输出：video。优先于image-to-video的条件：核心需求是复刻特定动作，而非从图片生成视频或对口型。不适用：人物说话/对口型 → image-to-video；纯文字生成视频 → text-to-video。
图生视频,image-to-video,以图片为首帧、语音为驱动信号，生成音画同步视频，支持对口型。。输入：image 1(首帧图片) + text 1(视频描述 prompt) + audio 0..1(可选，驱动对口型)。输出：video（含原生音轨）。优先于text-to-video的条件：用户提供了首帧图片，或核心需求是对口型/语音表演。优先于video-motion-transfer的条件：不需要复刻特定参考动作，而是从图片自由生成视频。不适用：无首帧图片 → text-to-video；仅需复刻特定参考动作 → video-motion-transfer；仅需轻微动效且无音画同步需求。
文生视频,text-to-video,纯文字驱动，生成电影氛围感强、运镜丰富的视频片段，可含环境音。。输入：text 1(视频描述 prompt)。输出：video（可含环境音/氛围音）。优先于image-to-video的条件：用户未提供首帧图片，且不需要对口型/语音同步。不适用：用户已提供首帧图片 → image-to-video；需对白口播准确 → image-to-video；需所有元素逐条落地或完整广告成片。
视频转GIF,video-to-gif,将单个视频转换为GIF动图。。输入：video 1。输出：gif（等比例，长边最大480px）。约束：仅支持单个视频输入；长边最大 480 像素。不适用：图片序列合成GIF；视频格式转换（非GIF目标）。
图片生成,image-generate,从文字描述或参考图生成全新图片，擅长主体一致性与风格迁移。。输入：text 1(生成描述 prompt) + image 0+(可选参考图)。输出：image。优先于image-edit的条件：核心意图是生成新图，而非修改现有图片。优先于image-poster-generate的条件：目标不是海报/宣传物料。不适用：对已有图片局部修改 → image-edit；海报设计（含排版） → image-poster-generate；换脸 → image-face-swap。
海报生成,image-poster-generate,生成含文字排版的海报，支持中文与非中文，适用于宣传/广告/活动推广。。输入：text 1(海报内容/设计要求 prompt) + image 0+(可选素材图)。输出：image（每次仅1张）。约束：每次仅输出1张；中文与非中文自动适配不同模型。优先于image-generate的条件：输出物明确是海报/宣传物料，需文字排版和版式。优先于image-edit的条件：目标是完整海报设计或系列延展，非单纯局部修改。不适用：通用图片生成（非海报） → image-generate；非海报图片编辑 → image-edit。
图片编辑,image-edit,"对已有图片进行局部或整体编辑，支持多图参考融合与分析标注。内含三个子模型，需根据编辑目标选择。。输入：image 1+(至少一张底图，可追加参考图) + text 1(编辑指令 prompt)。输出：image。model参数[nougat/gummy/praline，默认praline]：按优先级从高到低判断，先匹配专科模型，都不命中则走全科默认： 1. nougat — 编辑目标是将照片转为高度风格化的艺术风格时必选：卡通化、3D手办风、二次元、简笔画、概括性可爱风格等艺术再创作。⚠️ 该模型人脸相似度低，不适用于需要保持人脸真实感的场景（证件照、写实肖像等）。 2. gummy — 编辑目标是人像写真或宠物写真生成、或发型调整时选：基于用户人像照/宠物照生成写真风格图片，调整发型款式、发丝纹理等。支持多图输入。 3. praline（默认）— 以上都不符合时选：文字操作（修改/添加/消除/替换图中文字、文字渲染、手写体）、换背景、改颜色、添加/去除元素、构图调整、物体替换、多图材质风格融合、跨图风格统一、图片分析标注等所有通用编辑场景。 ⚠️ 判断要点：nougat 是""变画风""（输出不像真人），gummy 是""拍写真/换发型""（输出像真人），praline 是""改内容""（通用编辑）。。约束：ratio 取值因 model 不同：praline 支持 auto/1:1/2:3/3:2/3:4/4:3/4:5/5:4/9:16/16:9/21:9；nougat 支持 auto/1:1/2:3/3:2；gummy 支持 auto/1:1/4:3/3:4/16:9/9:16/3:2/2:3/21:9。优先于image-generate的条件：用户有明确底图要编辑，非从零生图。优先于image-poster-generate的条件：编辑目标不是海报，或仅需局部微调。不适用：无底图纯文字生图 → image-generate；完整海报设计 → image-poster-generate；仅超清 → image-upscale；仅美容 → image-beauty-enhance。"
图片超清,image-upscale,提升图片分辨率和清晰度，消除噪点，增强画质。。输入：image 1。输出：image（更高清的图片）。不适用：修改图片内容 → image-edit；美颜修饰 → image-beauty-enhance。
图片美容,image-beauty-enhance,对单人人像进行美颜：美肤、减淡瑕疵、提亮肤色、修饰脸型五官。。输入：image 1(仅支持单人图)。输出：image（保留高清质感和个人面部特征）。约束：仅支持单人图，不支持多人。优先于image-edit的条件：需求仅限美颜美肤，不涉及内容修改。优先于image-upscale的条件：目标是面部美化而非纯画质提升。不适用：多人合照美颜（不支持）；修改图片内容 → image-edit；纯画质提升 → image-upscale；换脸 → image-face-swap。
AI换头,image-face-swap,将图1人物的头部和肤色替换到图2上，保留图2的姿态、服饰和背景。。输入：image 2(图1=源脸，图2=目标姿态/场景)。输出：image（图2构图不变，头部肤色换为图1）。优先于image-edit的条件：需求明确是人脸替换，非通用编辑。优先于image-try-on的条件：目标是换脸而非换装。不适用：替换背景 → image-edit；仅换发型不换脸 → image-edit；虚拟试衣 → image-try-on。
AI换装,image-try-on,将服装图适配到人像上，生成虚拟试穿效果。。输入：image 2(人像图1张(不要求完整人像) + 服装图1张(平铺或穿着均可))。输出：image。约束：⚠️ 调用前必须先调用 image_analysis 分析用户图片；必须同时提供人像图和服装图。优先于image-face-swap的条件：目标是换装而非换脸。优先于image-edit的条件：需求明确是虚拟试衣，非通用编辑。不适用：换脸 → image-face-swap；仅抠出服装 → image-cutout。
抠图,image-cutout,分离前景与背景，提取主体或人物，输出透明背景图。。输入：image 1。输出：image（透明背景的主体图）。不适用：抠图后换背景 → 先 image-cutout 再 image-edit；宫格拆分 → image-grid-split。
宫格拆分,image-grid-split,将单张宫格拼接图拆分为多张独立图片。当前支持四宫格(2x2)。。输入：image 1(标准宫格布局的拼接图)。输出：image（4张独立图片（四宫格模式））。约束：当前仅支持四宫格(2x2)；非宫格图片拆分结果可能不符合预期。优先于image-edit的条件：按宫格等分拆图，非任意裁切。优先于image-cutout的条件：网格切割整张图，非分离前景主体。不适用：任意比例裁切 → image-edit；提取前景主体 → image-cutout。
